コード,短信タイトル,短信PDF_URL,来期見通し(短信抜粋)
3396,2026年2月期 決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260407/20260407599181.pdf,今後の見通し 2027年２月期につきましては、前期に確立した収益基盤を土台に、「増収増益の常態化」を実現する極めて重要な 実行年と位置づけ、「定期便事業の抜本的強化」と「次世代事業の創造」を両輪として成長軌道を牽引することを目 指します。 主力の定期便事業では、合理性や効率性が重視される現代社会に対して、コストパフォーマンスや利便性のみを訴 求する事業とは一線を画した共感主導型マーケティングを徹底…
8904,2025年8月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251014/20251009571056.pdf,業績見通しにつきましては 、売上高 は720億円（前年同期比 3.9％増）、営業利益は19億円（前年同期比44.6％増）、経常利益は16億円（前年同期比39.6％増）、親会社株主に 帰属する当期純利益は12億円（前年同期比87.7％増）を見込んでおります。 (5）利益配分に関する基本方針及び当期・次期の配当 当社は、中長期的な企業価値最大化によって株主に帰属する利益を増大させ、持続的な株主価値向上…
8165,2025年12月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260213/20260213561513.pdf,今後の見通し （連結） (単位：百万円) 2026年度の見通しにつきましては、再生計画（2025年～2027年）の２年目として、当連結会計年度に構築した事業 基盤を活かし、確実な成果創出を図る年と位置付けております。売上高につきましては、通信販売事業の抜本改革に 伴う各施策の本格的な効果発現時期を慎重に見極めた結果、再生計画２年目の数値目標460億円から450億円へ見直し ます。営業利益につきまし…
8772,2026年３月期　決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260513530538.pdf,今後の見通し （不動産担保ローン事業） 主要事業の不動産担保ローン事業においては、従来通り「債権の健全性」を重視しつつ、企業の認知度及び 商品の有用性の積極的なプロモーション活動を行い、集客力を高めることによって、良質な貸付債権の積み上 げを行えるものと見込んでおります。 （信用保証事業） 信用保証事業においては、残高は堅調に推移しており、次期においても一定の成果を見込んでおりますが、 連結業績に…
7851,令和８年３月期 決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260514533919.pdf,今後の見通し 先行き不透明な中東情勢の緊迫化を受け、今後も原材料等を含めたあらゆるものが高騰するものと予想されま す。当社に限らず、お客様にもその影響があるものと考えており、今後の受注状況にも影響するものと予想してお ります。 このような状況のなか当社におきましては、引き続き地方自治体や外郭団体などへの営業活動の強化、新規案件 の取り込み、お客様への価格改定活動を行ってまいります。 現時点における…
4234,2026年3月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260427511216.pdf,業績見通しにつきましては、売上高 306億円（前年同期比 0.8％増）、営業利益９億 40百万円（前年同期比 12.3％増）、経常利益11億円（前年同期比 7.7％増）、親会社株主に帰属する当期純利益６億50百万円（前年同期比32.1％減）を予想しております。 ２．会計基準の選択に関する基本的な考え方 当社グループの利害関係者 の多くは、国内の株主、債権者、取引先等であり、海外からの資金調達の必要…
3261,2025年12月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260210/20260209552069.pdf,今後の見通し 当社グループを取り巻く経営環境は、建築資材価格および人件費の上昇が継続する中、住宅販売価格は高止まり の状況が続いております。また、消費者物価の上昇や金利上昇の影響により、実需を中心とした住宅需要は低調に 推移しております。一方で、企業間競争については過度な競争局面を概ね脱しつつあり、地方では建売住宅事業か ら撤退する小規模事業者も見受けられるなど、市場環境は転換期を迎えております。…
9767,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260514535603.pdf,今後の見通し 物価の上昇やアメリカの政策動向さらに地政学的緊張の増大による原材料の調達難および価格高騰の影響等に十 分注意する必要があり、先行き不透明な状況にありますが、公共投資は底堅く推移するものと予想されます。業界 を取り巻く環境は厳しさを増していくものの、気候変動や地震及び火山による自然災害の激甚化・頻発化に直面す るなかで、当社グループの主たる業務である港湾、漁港、海岸、河川、砂防分野にお…
5408,2026年３月期 決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260508/20260508519307.pdf,今後の見通しにつきましては、国内鉄鋼需要の低迷に加え、中国経済の減速に伴う供給過剰を背景とした低価格 製品との競合や、足元で急騰している鉄スクラップ価格や各種資材コストに加え、中東情勢の影響によるエネルギ ー価格の高騰なども懸念され、厳しい経営環境が続くものと想定されます。鋼材販売価格への転嫁や新設した関東 中継地の活用等により販売価格・販売数量ともに改善を見込む一方で、主原料価格の高騰や高止まり…
5928,2026年3月期 決算短信[日本基準]（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260514534901.pdf,今後の見通し 次期におきましては、新設住宅着工戸数の伸び悩み、原材料価格をはじめとする仕入価格等の高止まりが続くものと 見込まれますが、営業強化による新設住宅用建材の受注堅持、リフォーム建材の受注拡大、新規取引先の獲得や新製品 の更なる開発に注力してまいります。また、前年に引続き生産性の改善、業務の合理化、製品価格の見直し・交渉など 収益構造の改革に全社にて取組んでまいります。これらに加えて、収益…
7442,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260508/20260508520508.pdf,今後の見通しにつきましては、中東情勢の悪化やウクライナ侵攻の長期化などを背景とした地政学上のリスクの 影響や米国の通商政策の動向などの不安定要素があり、海外経済の先行きの不確実性は高まると見込まれます。ま た、国内経済につきましても、食料品・生活用品の継続的な値上げに伴う消費者の生活防衛意識の高まり等の影響 を受けて、先行き不透明な経営環境が継続することが想定されます。さらに、取引先が属する業界の…
2388,令和７年９月期 決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251114/20251114503684.pdf,今後の見通し 今後の世界経済は、アメリカによる関税措置の影響や、ロシア・ウクライナ紛争も継続しており、インフレーシ ョンに影響を与えうる可能性があり、先行き不透明な状況で推移すると予測しております。我が国経済のみならず 世界経済への長期的な影響が懸念されております。この影響に関しては、当社グループが事業を行っております各 国政府の方針、事業別の環境等により異なります。そのため、それぞれのセグメント…
4624,2026年3月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260511/20260423509011.pdf,今後の見通し 今後の経済の見通しにつきましては 、2026年3月からの買い込み需要の反動が懸念され、中東情勢による原油等 の供給不安をはじめ、ウクライナ情勢の長期化や原油価格をはじめとするエネルギー価格の動向、物流・運送業界 をとりまく2024年問題の更なる顕在化、通商政策など米国の政策動向がわが国経済に与える影響が見通せず、先行 きは極めて不透明な状況であります。 当社グループを取り巻く状況も、…
7219,2025年8月期決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251010/20251010571380.pdf,今後の見通しといたしましては、海外向けの最大市場である米国の関税政策を含む通商・経済政策の不透明さ をはじめ、中国経済の失速リスクや各国の通商政策にともなう貿易摩擦、コストプッシュインフレへの懸念等、 当社マーケットをとりまく不確実性はますます高まっております。加えて、長期化する円安が原材料価格やエネ ルギー価格等に与える影響や、売り手市場が続く労働市場における賃金上昇圧力等も当社の損益に影響を与…
7857,2026年３月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260513530346.pdf,今後の見通し 印刷需要が減少傾向にある中、当社グループの事業環境は一層厳しさを増しております。こうした状況下、引き 続き顧客ニーズに沿った既存の事業分野に捉われない幅広い提案営業活動を強化し、経営のより一層の合理化・効 率化を進めております。また、当社はＳＤＧｓならびに環境経営に関する基本方針及び数値目標をホームページ （https://www.seki.co.jp/csr/）に掲載しております。…
6467,2026年３月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260501/20260429514084.pdf,今後の見通し 当社グループの主要顧客業界である日系自動車産業では、中東情勢の悪化による部品・素材コストの上昇などに より生産体制の見直しや在庫調整の動きが継続することが予想され、さらに、エネルギー価格をはじめとする各種 コストや資材価格の上昇が見込まれるほか、レアメタル等の重要鉱物の調達難も想定されており、先行きは依然と して不透明な状況が続いております。 また、自動車産業の電動化シフトは一時的に…
7266,2026年3月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260420507001.pdf,今後の見通し 今後の当社グループを取り巻く事業環境については、中東情勢に起因するエネルギー・資源価格の高騰、米国にお ける通商政策の動向、為替相場の不安定な推移等により、先行きは依然として不透明な状況が続くものと予想されま す。 このような経営環境の中で、当社は中期会社目標で掲げる９つの重点施策を「倍速の経営スピード」で実行し、安 定した収益基盤を確立するべく邁進しております。 引き続き競争力強化…
9914,2026年３月期　決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260430/20260430514427.pdf,今後の見通しにつきましては、原油高が企業収益や物流費、家計負担を下押しし、政策金利の引き上げや長期金 利の上昇も設備投資の重荷になると予想されます。一方で、政府の成長投資や継続的な賃上げ、雇用環境の改善に より、家計の実質購買力を支えることが出来れば、景気は底堅さを保つ見込みとなります。ただし、急激な円安進 行や株価の下落、中東情勢や日中関係の不安定化が強まれば、景況感は下振れする可能性が高く、今…
8995,2026年３月期　決算短信[日本基準]（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260508519222.pdf,"今後の見通しにつきましては、次のとおり予定しております。 当連結会計年度 自2025年４月１日 至2026年３月31日 2027年３月期予想 自2026年４月１日 至2027年３月31日 前期比 増減額 前期比 増減率 売 上 高 3,130百万円 3,535百万円 405百万円 12.9％ 営業利益 41百万円 115百万円 74百万円 180.5％ 経常利益 37百万円 105百万円 68百万…"
1994,2025年12月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260210/20260209552482.pdf,次期の見通しにつきましては、売上高は82億42百万円（前連結会計年度比12.3%増）、営業利益2億18百万円（前 連結会計年度比93.5%増）、経常利益2億68百万円（前連結会計年度比43.6%増）、親会社株主に帰属する当期純利益 1億66百万円（前連結会計年度比12.9%減）を見込んでおります。一方、2026年は関東の市況が回復することが見え ており、業績も回復してゆくと考えています。 高橋カー…
9162,2025年6月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20250814/20250814542052.pdf,今後の見通し 当社グループは、新規商材・新規ジャンルの開拓に加えて、商品企画等の上流コンサルティング領域への注力、 新たな広告媒体の開拓、マーケティング手法の拡大などにより、商材ポートフォリオを拡大し、当社グループの収 益の柱となるコア商材を増やしていくことで継続的な業績拡大を図ってまいります。また、株式会社オーラムテッ クによる支援領域の拡大により、事業ポートフォリオの拡大を進めてまいります。特…
8046,2026年3月期 決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260511521442.pdf,今後の見通し 建設業界を取り巻く環境は、都市部の再開発プロジェクトや鉄道関連、エネルギー関連施設及び倉庫・工場案件の 需要や、政府主導の第１次国土強靭化実施中期計画、インフラ長寿命化計画等の下支えが期待され、中長期的に底堅 い建設需要の推移が見込まれます。一方で、エネルギー価格や原材料価格の高止まりによるインフレ圧力の持続、資 機材および労務費の高騰など建設コストの上昇が想定されます。加えて、建設…
8147,2026年3月期決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260515537066.pdf,今後の見通し 当社グループを 取り巻く事業環境 は、景気は緩やかな回復基調にあるものの 、米国の通商政策 の動向、中東情 勢、為替変動、原材料・原油価格の高騰及び中国経済の減速など、依然として不透明な状況が続くものと予想して おります。 このような環境の下、当社グループは、「フェアプレイで 世界のものづくりに 貢献する」という企業理念の下、 「技術に強い専門商社」を目指し顧客満足度を追求することで…
7624,令和8年2月期決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260326/20260322585990.pdf,今後の見通しについては、物価高・人手不足に加え、アメリカ政府の政策動向や中東情勢の緊張に伴う原油価格 の変動等の要因により、先行き不透明な状況で推移するものと予想しております。 このような認識のもと、当社は新中期経営計画の初年度として令和９年２月期の売上高は450億円、営業利益４ 億円、経常利益４億30百万円、親会社株主に帰属する当期純利益２億70百万円を見込んでおります。 なお、新中期経営計画の…
8119,2026年3月期 決算短信[日本基準]（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260513531514.pdf,次期の見通し わが国の今後の経済見通しは、[内外環境]にも記載したとおり様々なリスク要因が前期より続いており、特に緊 迫した中東情勢による原油高が、先行きに対する一層の不透明感を引き起こしています。 こうした状況下、当社グループは創業80周年となる2026年を初年度とする中期経営計画『SANYEI NEXT 2028』 を策定し、外部環境に左右されにくい、持続的かつ着実な成長戦略を進めて参ります。…
4341,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260513530743.pdf,業績見通しは、当社が現時点において合理的と判断する一定の前提に基づいており、実際の業績は見通しと異なることがあることをお含みおき願います。（5）利益配分に関する基本方針及び当期・次期の配当 当社は、株主の皆様に対する利益還元を経営の最重要政策の一つと考えており、会社の競争力を維持・強化して株主資本の拡充と同利益率の向上を図るとともに、配当水準の向上と安定化に努める方針です。 剰余金の配当につきまし…
7229,2026年３月期 決算短信〔ＩＦＲＳ〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260511523445.pdf,今後の見通し 2026年３月11日付で公表した『マザーサン グローバル インベストメンツ ビーブイ（Motherson Global Investments B.V.）による当社株式に対する公開買付けの結果に関するお知らせ』に記載のとおり、公開買付者 による本公開買付け及びその後の一連の手続に従って、当社株式は上場廃止となる予定であることから2027年３ 月期の連結業績予想は記載しておりません。 …
7538,2026年３月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260426510952.pdf,"今後の見通しにつきましては、中東情勢や為替の変動により、資材価格や物流費の上昇が懸念されます。こうしたコスト上昇に加え、海外での水産物需要の高まりや海水温の上昇等による漁獲量の減少を背景に、水産物価格は上昇が続くものと考えられます。消費者の節約志向も依然として根強く、厳しい事業環境が続くものと見込まれます。このような状況下、2027年３月期の連結業績見通しは、売上高1,060億円、営業利益８億円、…"
9929,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260512526382.pdf,今後の見通し アメリカの通商政策の動向や中東情勢の緊迫化等の地政学的リスクの継続、金利および為替相場の変動、原材料 価格の高騰による物価上昇等により、経済活動への懸念は今後も続いていくものと思われます。また、紙・板紙の 国内需要予測では、印刷・情報用紙分野での構造的な需要減少による全体の需要減少は継続が予想されておりま す。 このような中で当社グループは、2026年度事業の方針を「日々確実な成長を…
7877,2026年３月期　決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260512526860.pdf,今後の見通しにつきましては、米国のトランプ関税による景況感の下押し、中東情勢の不安定化によるエネルギ ー価格の急騰、物価上昇や不安定な為替動向など不透明な状況が続くものと予想されます。 このような経済環境のなか、エネルギー価格の急騰や急激な為替相場の変動による影響は、当社グループの経営 環境や業績にも影響をもたらすことが懸念されます。 以上の状況を踏まえ、2027年３月期の連結業績見通しについては…
9872,2025年11月期決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251226/20251226527554.pdf,今後の見通しにつきましては、景気は緩やかな回復基調で推移すると見込まれる一方、資源・原材料価格高騰 に伴う物価上昇、為替・金利の変動、海外経済の不透明感など、事業環境は引き続き変動要因が多い状況が続く 見込みです。住宅関連業界におきましては、建築基準法・省エネ基準の改正の影響による反動減が一巡し、着工 戸数の持ち直しが期待されるものの、住宅取得マインドは全体として低下傾向にあり、地域による差異も見…
6262,2026年３月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260513529370.pdf,今後の見通しは不透明な状況ではありますが、当社企業グループは、顧客課題解決に向けた商品開 発及び技術向上を図るとともに、グローバルな生産供給体制の強化を通じて安定的かつ柔軟な事業運営基盤の構 築に取り組んでまいります。また、収益力の強化や資本効率の改善を通じて、企業価値の向上に引き続き努めて まいります。 アパレルマシナリー事業につきましては、縫製工場における熟練工の確保が難しくなるなか、自動化や…
4839,2026年３月期決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260515536881.pdf,次期の見通し（2026年４月１日～2027年３月31日） 中期経営計画の２年目となる2026年度は、放送事業の想定を超える縮小という現実を直視し、「新たな配信サ ービスの立ち上げ」と「コンテンツ多層化収益の拡大」の２軸へ経営資源を集中させます。既存の放送サブスク リプションモデルからの脱却を図り、次世代のハイブリッド型事業構造への転換を強力に推進してまいります。 当社グループは、以下の課題に優先的…
6228,2025年12月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260529/20260525547132.pdf,今後の見通し 当社は、2026年４月30日付「特別調査委員会の調査報告書受領に関するお知らせ」のとおり、特別調査委員会に よる調査結果を踏まえ、今回の調査の過程で検出された事項について、関連する会計処理を過年度に遡って訂正す る必要があると判断し、過去に提出済みの有価証券報告書等に記載されている財務諸表等を訂正し、過年度の有価 証券届出書、有価証券報告書及び四半期報告書並びに半期報告書の訂正報告書…
2193,2025年12月期 決算短信〔ＩＦＲＳ〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260206/20260205549442.pdf,今後の見通し 当社グループは、日本を含む世界中の人々に向けて「毎日の料理を楽しみにする」サービスを提供するべく積 極的に投資を行っていく所存です。その投資の時期や金額の規模については、事業を取り巻く環境等の変化に応 じて機動的に判断していく想定です。このため、2026年12月期の連結業績予想については、合理的に算定するこ とが困難であるため、開示を行っていません。 （５）利益配分に関する基本方針 …
2499,2025年12月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260213/20260211555260.pdf,業績見通し）当社は市場規模が縮小傾向にある和装業界に属しながら、独自のビジネスモデルによって、業界内では比較的安定した営業利益（2023年度393百万円、2024年度480百万円、2025年度375百万円）を計上しております。しかしながら、広告宣伝費・販売促進費等が単体の売上高の15％程度を占めるプロモーション依存度の高い事業構造であることから、集客を担っている無料きもの着付け教室のTVCMの反応…
7991,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260513529336.pdf,今後の見通し電子機器事業につきましては、パチンコホール店舗において人件費や諸物価高騰の中、設備投資に慎重な姿勢がみられ、既存遊技機からスマート遊技機への入れ替えは落ち着いた推移になるものと思われ、遊技機の周辺機器も同様に推移すると予想しております。スポーツ事業につきましては、為替や原材料・素材価格の変動、生産拠点であるバングラデシュでのコスト上昇、さらには流動的な国際政治情勢などの様々な不安定要素…
7887,2026年３月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260514535199.pdf,今後の見通し 次期の見通しにつきましては、次のとおりであります。 今後の我が国の経済情勢は、賃金・雇用情勢の改善や企業設備投資の拡大傾向を背景に、緩やかな回復が見込まれます。しかしながら、米国の政策変更による貿易摩擦の懸念のほか、為替相場の変動や地政学的リスクにより不透明な状況となっており、依然として先行き不透明な状況が継続しています。 住宅業界におきましては、人件費、原材料費、エネルギー費の高騰…
7841,2025年12月期  決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260213/20260208551133.pdf,業績見通しにつきましては、売上高210億円（前期比15.1％増）、営業利益11億50百万円（同12.0％増）、経常利益12億50百万円（同8.9％増）、親会社株主に帰属する当期純利益10億円（同66.4％増）を見込んでおります。なお、本業績見通しの為替レートにつきましては、１タイバーツ4.9円を前提としております。 ㈱遠藤製作所（7841） 2025年12月期決算短信 - 4 - ②利益配分に関す…
6346,2026年3月期決算短信［日本基準］（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260501516497.pdf,今後の見通し 次期の経営環境につきましては、世界各国で起こっている紛争の行方が見通せず、それに伴うエネルギー・物流網の構造的な脆弱性に対応するためには、効率重視のサプライチェーンから、戦略的な在庫確保や供給網の多極化への転換が、我が国の産業界においての優先課題となると思われます。 また国内の物価高と賃金上昇のサイクルが定着する中、コスト増を価格へ転嫁し、いかに高い付加価値を創出できるかが問われます…
6054,2025年12月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260213/20260212557429.pdf,次期の見通し） 当社グループは、中長期的な持続成長の実現と企業価値向上のため、既存事業の収益基盤を強化しつつ、新たな強みと収益源を獲得することを目指しています。 2025年12月期において減収減益かつ営業赤字となったことを受け、2026年12月期は中期経営計画を推進しつつ、収益性の改善により四半期黒字を実現することを目指します。 特に、大幅な減収となった「マッハバイト」においては売上成長よりも収益…
5918,2026年３月期  決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260513530268.pdf,今後の見通し当社グループを取り巻く事業環境につきましては、国内において慢性的な人手不足や入札競争の激化といった構造的課題に加え、建設コストの上昇や投資判断の慎重化を背景として、民間建設投資や鉄骨需要は力強さを欠いた推移が見込まれております。また、公共分野においても、今年度の新設鋼橋発注量は前年度と同様、引き続き厳しい水準が想定されており、足元の需要動向については慎重な見極めが必要な状況にあります。…
4231,2026年３月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260512524842.pdf,"今後の見通し 今後の経済の見通しは、中東情勢の緊迫化に伴い、エネルギー価格高騰、物流コスト増加、サプライチェーン混 乱などが想定され、先行き不透明な経営環境が予想されます。引き続き、売上・収益計画の必達、連結経営の強化、 企業体質の強化に注力してまいります。 なお、現時点における連結業績予想は、売上高50,000百万円、営業利益3,000百万円、経常利益3,300百万円、親 会社株主に帰属する当期…"
2917,2025年９月期 決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251113/20251111596763.pdf,今後の見通し 当社グループを取り巻く市場環境は、経済活動の正常化、インバウンド需要の増加により景気は回復傾向にある ものの、エネルギー価格の高騰、商品価格の相次ぐ値上げにより消費者の生活防衛意識が高まっており、依然とし て節約志向、低価格志向から脱しきれず、厳しい環境が続くものと想定されます。 このような状況の中、当社グループといたしましては、安全・安心な製品の安定供給に努めるとともに、生産活 動…
1420,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260511/20260511521448.pdf,次期の見通し)次期の住宅業界は、緊迫化する中東情勢による原油価格やナフサ価格の上昇や石油化学製品の納期への影響等、不透明な状況が想定されます。また、土地価格や労務費を含む人件費等の上昇、上昇継続する各種金利等、社会・経済状況に対する影響は大きいものが想定されます。他方、国土交通省より「住生活基本法」の見直し素案が公表され、住宅行政においても「新築」から「ストック」に大きく舵を切られる状況であり、住…
